NewHash(v1.38),BaseHash
BC0ED94165A48BC2,2EB33FFA32BC9E49
7A6535691B477C48,5249BC3946DCDA75
BB6F1CAEC68B0BCE,EDE553A156C99512
F7EC25A3EBEEC726,5B86EDC52BCEECF5
153973AB99FE8980,01BF36BDFE0F82AC
A4822F1CF23F4810,E5FE8BEEDAF58134
80CA6A8B6C094CC4,87BE0E4947F798AC
7EE64D51E8498728,4022ED66B32A79DE
E50E52416CCF948B,9FB743331EC18DF4
1DBD58820FA61D71,020175C59CBE79DB
679BE1DAF71DA874,0D628BB90DA6214A
0FC2D89AC25A5814,16C6E55F8C91ED24
18EB48CFC41F2EA0,0097E1CD6A252D2C
7543BB439F63792B,D30CB36AEC29F5CC
137BC35589E34E1E,05F3E4A6F62A5ACD
97C9E4E7024A8F2C,3C42479A3436E320
5262CC1995D07E09,A82C5CF50055A1B4
424D4687FA1E5652,06883FE08D5D5F4A
353FC880830B88FA,BAE46728EC10BE94
A921AA820C25702F,6E1F1D2CB9DFB793
706D57B0F50DA710,7785488C353E6BAD
A921AA820C25702F,F0DABE056C7B70AB
4F8644AF03D0E0D6,E6363D7A51B58AD2
1913FE4CBF41C463,235C361BD000E938
8F5D1AD832AEB06C,510494EE6BA1AFB1
72D918C99BCACC54,DE25303DF0CA8E75
4F8644AF03D0E0D6,5B99D5C0DE301BD3
CA042B6957743895,C33B9889A311ABB0
FBCFA2EA2E206890,5381ADE2AB48C34C
74732C6CA90DA2B4,8E3B6139DCC5E397
F3929C2379B60CCE,4FCCBCCCB1A46E9F
10FAB35428CCC9D7,206C14525FF9EA88
A921AA820C25702F,C5CEFC62F3637652
84698AB38D0C6636,8C07DE9C165DA375
84698AB38D0C6636,DB94CFF813F20EA8
4F8644AF03D0E0D6,EDA3D32C7E577A06
0C515FAB3FF9EA92,C6CD0D7571533E51
0C515FAB3FF9EA92,9F40BBDBC30EBB13
0C515FAB3FF9EA92,3C1B81D0B5A5B618
BBDA792448DB5A89,34ECA449F778AD6E
0C515FAB3FF9EA92,8E71D51E9899AF27
0C515FAB3FF9EA92,59BF86F44D9722EC
0C515FAB3FF9EA92,4B07B5C29BB25342
0C515FAB3FF9EA92,55DCF52F9C9C17C6
0C515FAB3FF9EA92,B213F3D908ADBB5E
0C515FAB3FF9EA92,C64E4D091884458D
0C515FAB3FF9EA92,43A848299D1053F2
8C9D11605E59D955,1A318EEA506A68C8
0C515FAB3FF9EA92,934D70FE78CC2D28
6DEE77AFF8C21BD1,9FCD56F864077E14
D11FA52EB849D978,6EF8BFCB3A7C2EE9
A4718A1419D18151,84236CF02FFEC68D
1F1F957154EC51DF,C1E412BF2D1D6DA1
21442F412E8DE56B,218077812CB5CC2A
2F9D3834AEB9EF79,357A0E3F30F7405C
364DF566EC833DE2,7979149EE8FE954D
CB2CF5148012C8D0,42CE89CF8FB079E5
44A0870B7E92D7C0,93500360FCCB65F3
729072355FA39EC9,C25830F0A5BDB298
83CDB10EA29B370B,9E9699379D42C23B
58C70CF3A41E4AE7,CC2EDAABFCD738A4
8C18E0F9080ADD73,D955F1CC0BCABC78
EEA929141F699854,AD844C8843FC405C
060D6E96F8B8E48D,1861D54BAC877B58
C77720A12FE14A86,ED3365BAA5895E01
D9A897A4C6C2974F,B9314D20143CEED3
3523634255FC3318,F91D68602B0BFFFF
90A43CC281FFAB46,5D19BDCFD0320F11
